iter	Passed	Remaining
0	24	24534
1	45	22579
2	69	23012
3	95	23693
4	124	24811
5	160	26525
6	183	26007
7	208	25807
8	232	25551
9	256	25379
10	278	25020
11	300	24767
12	325	24691
13	348	24541
14	371	24364
15	397	24431
16	420	24323
17	443	24170
18	465	24008
19	490	24036
20	515	24031
21	538	23928
22	563	23937
23	585	23804
24	609	23763
25	630	23632
26	651	23487
27	674	23408
28	699	23416
29	721	23331
30	741	23185
31	765	23149
32	787	23084
33	811	23042
34	832	22948
35	853	22853
36	875	22775
37	899	22768
38	923	22751
39	942	22613
40	962	22509
41	984	22455
42	1006	22397
43	1026	22311
44	1047	22219
45	1070	22200
46	1091	22124
47	1110	22030
48	1135	22044
49	1166	22169
50	1194	22232
51	1223	22297
52	1254	22407
53	1278	22402
54	1305	22429
55	1353	22808
56	1390	22997
57	1420	23065
58	1443	23020
59	1482	23232
60	1507	23208
61	1530	23150
62	1552	23084
63	1576	23050
64	1597	22980
65	1619	22920
66	1638	22819
67	1658	22734
68	1683	22712
69	1702	22619
70	1725	22579
71	1746	22506
72	1766	22437
73	1792	22425
74	1813	22372
75	1834	22306
76	1855	22239
77	1877	22191
78	1900	22151
79	1920	22080
80	1940	22014
81	1961	21955
82	1981	21896
83	2007	21893
84	2027	21822
85	2048	21771
86	2067	21699
87	2085	21613
88	2110	21601
89	2134	21581
90	2151	21494
91	2171	21432
92	2195	21415
93	2217	21376
94	2236	21307
95	2253	21223
96	2278	21209
97	2298	21151
98	2323	21144
99	2346	21119
100	2365	21053
101	2384	20992
102	2403	20932
103	2422	20873
104	2445	20843
105	2464	20785
106	2484	20731
107	2506	20699
108	2534	20713
109	2555	20678
110	2575	20629
111	2595	20579
112	2613	20516
113	2631	20454
114	2659	20467
115	2678	20414
116	2697	20360
117	2715	20300
118	2732	20232
119	2756	20217
120	2776	20167
121	2795	20115
122	2815	20072
123	2832	20008
124	2855	19991
125	2875	19948
126	2894	19894
127	2912	19841
128	2932	19801
129	2956	19783
130	2978	19756
131	2998	19717
132	3017	19673
133	3038	19637
134	3059	19603
135	3078	19554
136	3096	19504
137	3114	19452
138	3135	19420
139	3158	19399
140	3175	19345
141	3192	19290
142	3211	19243
143	3228	19190
144	3246	19144
145	3270	19129
146	3290	19095
147	3312	19066
148	3333	19039
149	3357	19023
150	3375	18976
151	3394	18936
152	3413	18898
153	3432	18857
154	3453	18828
155	3473	18794
156	3496	18775
157	3515	18734
158	3536	18705
159	3555	18666
160	3578	18649
161	3599	18618
162	3620	18588
163	3639	18554
164	3657	18511
165	3681	18498
166	3701	18463
167	3719	18418
168	3737	18378
169	3758	18350
170	3778	18316
171	3801	18300
172	3819	18257
173	3838	18219
174	3857	18183
175	3878	18160
176	3900	18134
177	3917	18092
178	3937	18061
179	3961	18048
180	3983	18026
181	4019	18064
182	4037	18026
183	4056	17990
184	4076	17960
185	4096	17927
186	4115	17892
187	4134	17856
188	4157	17837
189	4177	17810
190	4199	17787
191	4217	17749
192	4235	17709
193	4256	17684
194	4279	17664
195	4302	17649
196	4318	17603
197	4337	17568
198	4357	17537
199	4377	17510
200	4397	17482
201	4422	17471
202	4443	17446
203	4463	17418
204	4484	17392
205	4505	17367
206	4528	17346
207	4547	17314
208	4567	17286
209	4587	17258
210	4606	17224
211	4626	17196
